,movie_name,year,runtime,genre,rating,votes,gross(in $)
89,Kill Bill: Vol. 1,2003,111 min,thriller,8.2,1125303.0,70099045.0
90,Mulholland Drive,2001,147 min,thriller,7.9,361668.0,7220243.0
91,You Only Live Twice,1967,117 min,thriller,6.8,111800.0,43084787.0
92,Now You See Me,2013,115 min,thriller,7.2,668692.0,117723989.0
93,True Romance,1993,119 min,thriller,7.9,230308.0,12281500.0
94,Under the Skin,2013,108 min,thriller,6.3,147142.0,2605039.0
95,National Treasure,2004,131 min,thriller,6.9,338858.0,173008894.0
96,Legend,2015,132 min,thriller,6.9,187340.0,1872994.0
97,Hell or High Water,2016,102 min,thriller,7.6,235441.0,26862450.0
98,Mission: Impossible,1996,110 min,thriller,7.1,432805.0,180981856.0
99,Bad Boys,1995,119 min,thriller,6.8,270812.0,65807024.0
100,The Conjuring,2013,112 min,thriller,7.5,516522.0,137400141.0
101,Shooter,2007,124 min,thriller,7.1,338464.0,47003582.0
102,Nightcrawler,2014,117 min,thriller,7.8,557821.0,32381218.0
103,Jaws,1975,124 min,thriller,8.1,613973.0,260000000.0
104,Nocturnal Animals,2016,116 min,thriller,7.5,284810.0,10663357.0
105,Zodiac,2007,157 min,thriller,7.7,551156.0,33080084.0
106,Primal Fear,1996,129 min,thriller,7.7,225672.0,56116183.0
107,From Russia with Love,1963,115 min,thriller,7.4,137609.0,24796765.0
108,Fargo,1996,98 min,thriller,8.1,684523.0,24611975.0
109,28 Days Later,2002,113 min,thriller,7.5,420002.0,45064915.0
110,The Maze Runner,2014,113 min,thriller,6.8,475471.0,102427862.0
111,Jack Reacher,2012,130 min,thriller,7.0,346299.0,80070736.0
112,Knock Knock,2015,99 min,thriller,4.9,97047.0,36336.0
113,Suspiria,2018,152 min,thriller,6.7,81903.0,2474044.0
114,A Quiet Place Part II,2020,97 min,thriller,7.2,237487.0,160072261.0
115,Goldfinger,1964,110 min,thriller,7.7,193468.0,51081062.0
116,The Hunger Games: Mockingjay - Part 2,2015,137 min,thriller,6.5,333896.0,281723902.0
117,Orphan,2009,123 min,thriller,7.0,235305.0,41596251.0
118,Furious 7,2015,137 min,thriller,7.1,394578.0,353007020.0
119,Minority Report,2002,145 min,thriller,7.6,558753.0,132072926.0
120,Angel Has Fallen,2019,121 min,thriller,6.4,100728.0,69030436.0
121,Fast & Furious,2009,107 min,thriller,6.5,291724.0,155064265.0
122,Beverly Hills Cop,1984,105 min,thriller,7.3,188835.0,234760478.0
123,Annihilation,2018,115 min,thriller,6.8,332822.0,32732301.0
124,The Mist,2007,126 min,thriller,7.1,316834.0,25594957.0
125,Sleepers,1996,147 min,thriller,7.5,227153.0,49100000.0
126,Con Air,1997,115 min,thriller,6.9,304255.0,101117573.0
127,The Accountant,2016,128 min,thriller,7.3,300457.0,86260045.0
128,The Vanishing,1993,109 min,thriller,6.3,26279.0,14543394.0
129,The Imitation Game,2014,114 min,thriller,8.0,778565.0,91125683.0
130,The Warriors,1979,93 min,thriller,7.6,104592.0,22490039.0
131,Die Hard,1988,132 min,thriller,8.2,891712.0,83008852.0
132,The Nice Guys,2016,116 min,thriller,7.3,335218.0,36261763.0
133,Alita: Battle Angel,2019,122 min,thriller,7.3,273749.0,85710210.0
134,Psycho,1960,109 min,thriller,8.5,677535.0,32000000.0
135,The Town,2010,125 min,thriller,7.5,396410.0,92186262.0
136,Wild Things,1998,108 min,thriller,6.6,123274.0,29753944.0
137,Fast & Furious Presents: Hobbs & Shaw,2019,137 min,thriller,6.5,216997.0,173956935.0
138,Training Day,2001,122 min,thriller,7.7,443143.0,76631907.0
139,Point Break,1991,122 min,thriller,7.2,187272.0,43218387.0
140,Thunderball,1965,130 min,thriller,6.9,120852.0,63600000.0
141,Sin City,2005,124 min,thriller,8.0,774127.0,74103820.0
142,JFK,1991,189 min,thriller,8.0,159559.0,70405498.0
143,Inside Man,2006,129 min,thriller,7.6,378140.0,88513495.0
144,Red Dawn,1984,114 min,thriller,6.3,59159.0,38376497.0
145,Armageddon,1998,151 min,thriller,6.7,431479.0,201573391.0
146,The Hunger Games: Mockingjay - Part 1,2014,123 min,thriller,6.6,462485.0,337135885.0
147,The Game,1997,129 min,thriller,7.7,403052.0,48323648.0
148,The Wandering Earth,2019,125 min,thriller,5.9,32574.0,5875487.0
149,Den of Thieves,2018,140 min,thriller,7.0,115242.0,44947622.0
150,The Fate of the Furious,2017,136 min,thriller,6.6,236159.0,226008385.0
151,Event Horizon,1997,96 min,thriller,6.6,184843.0,26673242.0
152,Starship Troopers,1997,129 min,thriller,7.3,300663.0,54814377.0
153,Quantum of Solace,2008,106 min,thriller,6.6,453757.0,168368427.0
154,Hannibal,2001,131 min,thriller,6.8,279245.0,165092268.0
155,Skyfall,2012,143 min,thriller,7.8,703338.0,304360277.0
156,Tomorrow Never Dies,1997,119 min,thriller,6.5,197384.0,125332007.0
157,White House Down,2013,131 min,thriller,6.3,225586.0,73103784.0
158,Ocean's Eleven,2001,116 min,thriller,7.7,582710.0,183417150.0
159,WarGames,1983,114 min,thriller,7.1,102761.0,79568000.0
160,Bad Times at the El Royale,2018,141 min,thriller,7.1,153561.0,17839115.0
161,Mission: Impossible - Rogue Nation,2015,131 min,thriller,7.4,378784.0,195042377.0
162,2 Fast 2 Furious,2003,107 min,thriller,5.9,278304.0,127154901.0
163,Blue Velvet,1986,120 min,thriller,7.7,203138.0,8551228.0
164,Train to Busan,2016,118 min,thriller,7.6,227586.0,2129768.0
165,Army of the Dead,2021,148 min,thriller,5.7,175572.0,1000000.0
166,Doctor Sleep,2019,152 min,thriller,7.3,197683.0,31581712.0
167,Oldboy,2013,104 min,thriller,5.8,77462.0,2193658.0
168,The Impossible,2012,114 min,thriller,7.5,227736.0,19019882.0
169,A Few Good Men,1992,138 min,thriller,7.7,269053.0,141340178.0
170,The Devil's Advocate,1997,144 min,thriller,7.5,377787.0,60984028.0
171,Gone Baby Gone,2007,114 min,thriller,7.6,276740.0,20300218.0
172,Crash,2004,112 min,thriller,7.8,439438.0,54580300.0
173,The Girl with the Dragon Tattoo,2011,158 min,thriller,7.8,469118.0,102515793.0
174,Unbreakable,2000,106 min,thriller,7.3,422978.0,95011339.0
